time,open,high,low,close,KAMA,Volume,Volume MA
2020-11-11T02:00:00+02:00,450.34,476.25,449.28,463.09,409.6052558415134,1205782.84262,891616.6907050011
2020-11-12T02:00:00+02:00,463.09,470,451.2,462.39,411.5399887184909,990776.62912,904763.9060410012
2020-11-13T02:00:00+02:00,462.48,478.01,457.12,476.43,415.1008062324193,976665.09752,932635.3173640013
2020-11-14T02:00:00+02:00,476.42,477.47,452,460.89,416.6059149124974,735252.7854,948618.6078290012
2020-11-15T02:00:00+02:00,460.9,462.89,440.19,448.08,417.44309422156607,665217.56671,937122.3525315011
2020-11-16T02:00:00+02:00,448.07,466,445.45,460.55,419.6041309845189,812060.44638,940013.1560745012
2020-11-17T02:00:00+02:00,460.51,484.88,459.8,482.15,423.25327899636,1151573.37456,954828.0513615012
2020-11-18T02:00:00+02:00,482.11,495.31,456.6,478.41,427.4692369389405,1477696.29116,1000058.0652115012
2020-11-19T02:00:00+02:00,478.43,480.75,464.86,471.25,430.37561039816256,817418.52685,1002341.4541810012
2020-11-20T02:00:00+02:00,471.26,514.4,470.65,510.12,438.73083888786715,1516361.90736,1054786.859024001
2020-11-21T02:00:00+02:00,510.12,553.32,502.82,552.35,453.68987205100416,1548851.29067,1110281.775775001
2020-11-22T02:00:00+02:00,552.42,580.88,511.28,560.03,467.51280005278795,1850317.93581,1163799.243587001
2020-11-23T02:00:00+02:00,560.03,610.85,550.12,608.58,494.1285191835047,2076008.84846,1229951.967453001
2020-11-24T02:00:00+02:00,608.58,623,585,604.97,513.8390548557771,1606450.49193,1252421.274511501
2020-11-25T02:00:00+02:00,604.98,606,553.83,569.5,519.698737521117,1219440.02727,1239636.287204001
2020-11-26T02:00:00+02:00,569.38,577.14,481,519.83,519.7046117418633,2683460.74171,1289687.2762765011
2020-11-27T02:00:00+02:00,519.83,530.62,493.72,518.68,519.6774332834921,1088064.28114,1261419.660528501
2020-11-28T02:00:00+02:00,518.59,547.94,506.59,537.52,520.5856235131396,900508.61431,1264399.6678235012
2020-11-29T02:00:00+02:00,537.5,576.9,530.32,576.3,523.9901893781258,855276.46664,1252202.828835001
2020-11-30T02:00:00+02:00,576.32,616.85,570.07,616.66,532.5790190762859,1501989.45408,1283958.6809850011
2020-12-01T02:00:00+02:00,616.65,635.7,560,585.26,535.6621285919074,2163875.81376,1331863.3295420012
2020-12-02T02:00:00+02:00,585.26,604.93,575,596.89,539.2146674750114,1069538.65619,1335801.4308955013
2020-12-03T02:00:00+02:00,596.88,623.44,585.82,615.85,544.3557994092486,935687.91723,1333752.5718810011
2020-12-04T02:00:00+02:00,615.84,620,565.82,567.24,545.0311172759647,1052452.78666,1349612.5719440011
2020-12-05T02:00:00+02:00,567.24,597.11,560.88,596.8,547.5541794854512,701567.95564,1351430.0913905012
2020-12-06T02:00:00+02:00,596.82,607.5,583,601.54,550.7605775135247,602496.96339,1340951.917241001
2020-12-07T02:00:00+02:00,601.59,603.15,584.22,591.28,552.6830737229465,498329.37589,1308289.7173075012
2020-12-08T02:00:00+02:00,591.27,595,549.22,554.94,552.7321653190593,804443.00717,1274627.0531080014
2020-12-09T02:00:00+02:00,554.92,578.08,530.43,573.09,553.3175339174824,997192.16738,1283615.7351345015
2020-12-10T02:00:00+02:00,573.2,575.7,548.11,558.99,553.4639084313686,608414.51466,1238218.3654995016
2020-12-11T02:00:00+02:00,558.99,560.8,535.5,544.43,553.3665061980861,768921.78317,1199221.8901245014
2020-12-12T02:00:00+02:00,544.46,574,543.1,568.04,553.4679579611168,573913.95311,1135401.6909895013
2020-12-13T02:00:00+02:00,568.09,595,563.22,590.7,553.8395948110887,657794.46158,1064490.9716455014
2020-12-14T02:00:00+02:00,590.81,591.48,575.6,586.29,554.1179423634882,493012.02706,1008819.0484020014
2020-12-15T02:00:00+02:00,586.29,597.2,578.58,588.64,554.368259516158,569270.52011,976310.5730440014
2020-12-16T02:00:00+02:00,588.78,640,580.71,637.18,556.1773927680393,1185588.05078,901416.9384975012
2020-12-17T02:00:00+02:00,637.18,676.25,625.76,642.7,560.7846244318289,2006130.01975001,947320.2254280017
2020-12-18T02:00:00+02:00,642.71,664.61,629.4,653.85,566.2970859342813,1000012.98018,952295.4437215017
2020-12-19T02:00:00+02:00,653.76,669.95,645.42,658.03,571.119899565922,858803.88459,952471.8146190017
2020-12-20T02:00:00+02:00,658.05,661.39,621.01,638.18,572.6881318494384,823958.22843,918570.2533365017
2020-12-21T02:00:00+02:00,638.1,648,595.9,607.58,572.8992333506782,834470.38231,852099.9817640018
2020-12-22T02:00:00+02:00,607.68,637.73,588,636.45,574.1421175040564,918851.25654,844565.6117815018
2020-12-23T02:00:00+02:00,636.41,638.44,551.28,585.56,574.2146724042493,1208807.36518,858221.5841790016
2020-12-24T02:00:00+02:00,585.48,615.02,565.43,612.31,574.3969528502839,886335.86333,849915.7380125016
2020-12-25T02:00:00+02:00,612.31,634.24,604.28,626.82,575.5686719950558,798009.62915,854737.8216880016
2020-12-26T02:00:00+02:00,626.78,652.91,615.26,637.44,576.5386421286648,958585.50647,872542.2488420015
2020-12-27T02:00:00+02:00,637.44,717.13,625,685.11,579.9520292454665,1859968.15029,940624.1875620015
2020-12-28T02:00:00+02:00,685.1,748.09,681.04,730.41,588.5189418058037,1627154.39266,981759.7568365015
2020-12-29T02:00:00+02:00,730.4,740.78,689.2,732,601.7228595642524,1106876.35855,987243.9663950015
2020-12-30T02:00:00+02:00,732,758.74,716.62,752.17,615.7175225091336,1008574.09906,1007251.9456150014
2020-12-31T02:00:00+02:00,752.17,755.74,722,736.42,626.7189401092322,863375.57981,1011974.6354470014
2021-01-01T02:00:00+02:00,736.42,749,714.29,728.91,636.876091831287,675114.09329,1017034.6424560016
2021-01-02T02:00:00+02:00,728.91,787.69,714.91,774.56,652.0437665718792,1352618.57668,1051775.8482110016
2021-01-03T02:00:00+02:00,774.44,1011.07,768.71,978.28,711.1380648860508,2813603.88615,1167805.4411655017
2021-01-04T02:00:00+02:00,978.33,1162.97,890,1041.43,778.9724489118973,4245010.94004,1351592.4621620015
2021-01-05T02:00:00+02:00,1041.45,1134.6,974.45,1099.56,849.4298149403317,2706995.67525,1427662.8433855018
2021-01-06T02:00:00+02:00,1100.16,1213,1057.26,1208.42,933.282592578532,2390136.59334,1446863.1720650014
2021-01-07T02:00:00+02:00,1208.75,1289,1131,1224.87,1002.0701245071391,1972922.82059,1495508.6640855013
2021-01-08T02:00:00+02:00,1224.86,1273.75,1065,1216.93,1050.2360941444458,2131172.92341001,1559127.1160265019
2021-01-09T02:00:00+02:00,1216.72,1304.37,1171.36,1276,1103.4372844052973,1448871.11514,1590372.7603620018
2021-01-10T02:00:00+02:00,1276,1348.33,1170,1254.25,1138.6555579237765,1951179.35003,1646208.208748002
2021-01-11T02:00:00+02:00,1254.24,1260,915,1087.01,1132.4447553210669,4068784.65678,1803704.8787600019
2021-01-12T02:00:00+02:00,1087,1150.02,1006.33,1050.16,1124.7298896940943,2302645.34052,1858396.777527002
2021-01-13T02:00:00+02:00,1050.36,1137.65,987.48,1129.89,1125.4510695263773,1564202.39081,1892290.1039010019
2021-01-14T02:00:00+02:00,1129.79,1247.55,1086.7,1231.62,1141.8632146336831,1555737.38556,1930176.4917215016
2021-01-15T02:00:00+02:00,1231.89,1256.98,1069.42,1168.53,1144.9490536101878,1944038.83738,1979449.1582670014
2021-01-16T02:00:00+02:00,1168.48,1298,1151.77,1227.83,1155.280429770231,1575384.43797,1965219.9726510015
2021-01-17T02:00:00+02:00,1227.83,1269.02,1165,1232.45,1164.2916529899574,1317285.00579,1949726.5033075016
2021-01-18T02:00:00+02:00,1232.5,1260.75,1182.58,1258.45,1174.944654352124,998050.11073,1944285.1909165017
2021-01-19T02:00:00+02:00,1258.52,1438.3,1251.49,1365.36,1200.121366749434,2278852.55758,2007799.1138425018
2021-01-20T02:00:00+02:00,1365.36,1407.93,1235.42,1376.99,1223.2451144580143,2219137.62144,2075587.2159240018
2021-01-21T02:00:00+02:00,1376.72,1390,1086,1110.96,1218.1428033956502,2310208.57298,2157341.9399085017
2021-01-22T02:00:00+02:00,1111.98,1273.79,1042.31,1232.62,1219.0507735862652,2020593.21673,2190740.671911002
2021-01-23T02:00:00+02:00,1232.61,1272.44,1195.9,1233.6,1219.879901425871,1009545.08258,2100537.7317325016
2021-01-24T02:00:00+02:00,1233.46,1398.83,1220,1392.51,1228.7196922337355,1510879.53817,1963831.161639002
2021-01-25T02:00:00+02:00,1392.19,1475,1293.69,1317.88,1231.3474834613805,1885441.31289,1922753.4435210018
2021-01-26T02:00:00+02:00,1317.6,1378.49,1244.56,1365.97,1235.1677401524714,1682923.65799,1887392.796753502
2021-01-27T02:00:00+02:00,1366.54,1373.9,1207,1239.03,1235.1902285184249,2009772.08358,1889235.259903002
2021-01-28T02:00:00+02:00,1238.93,1360,1217.23,1329.69,1236.1945583843699,1365269.71962,1850940.0997135013
2021-01-29T02:00:00+02:00,1329.44,1436.9,1285.35,1379.5,1238.3576115750743,2253963.18682,1891194.7032975014
2021-01-30T02:00:00+02:00,1379.56,1406,1326.41,1378.05,1239.823462295114,1040042.2363,1845637.8476110015
2021-01-31T02:00:00+02:00,1378.04,1380.74,1281.12,1312.55,1240.3563881416871,958704.85571,1690133.8575575016
2021-02-01T02:00:00+02:00,1312.45,1377.99,1269.99,1374.17,1244.4777359644204,1096397.91862,1629821.4864625016
2021-02-02T02:00:00+02:00,1374.09,1547.9,1360.28,1511.87,1258.8827942980488,1944227.99878,1648822.7668610015
2021-02-03T02:00:00+02:00,1511.93,1669.35,1508.39,1664.49,1284.3117547529785,1535869.88801,1647829.3919835016
2021-02-04T02:00:00+02:00,1664.67,1695.2,1554.44,1595.67,1295.974462015549,1646433.59589,1632949.1299090018
2021-02-05T02:00:00+02:00,1595.53,1760.49,1591,1719.19,1323.058227652822,1194123.29946,1613886.0729835017
2021-02-06T02:00:00+02:00,1718.95,1743.67,1642.94,1676.35,1340.0744868211914,1149808.33101,1605512.2392445016
2021-02-07T02:00:00+02:00,1676.35,1693,1490.46,1611.62,1349.9944468610217,1281734.86814,1619696.4771150018
2021-02-08T02:00:00+02:00,1611.46,1775.57,1563.89,1750.15,1369.196332454587,1339665.46592,1572737.122532002
2021-02-09T02:00:00+02:00,1749.68,1821.88,1708.49,1769.13,1384.8011088813505,1185071.89593,1521033.8362565017
2021-02-10T02:00:00+02:00,1769.14,1837.86,1680,1740.78,1396.7577889091249,1219932.25474,1466520.0203445018
2021-02-11T02:00:00+02:00,1740.76,1819,1703.44,1785.62,1435.2976833456405,735079.82699,1402244.3508575018
2021-02-12T02:00:00+02:00,1785.83,1864.88,1739.88,1840.26,1471.6647238590706,909600.20653,1397247.107055002
2021-02-13T02:00:00+02:00,1840.24,1871.72,1765,1814.96,1499.7517119156946,767589.07285,1360082.583789002
2021-02-14T02:00:00+02:00,1815.25,1850,1784.11,1800.42,1516.43920149361,675261.77873,1299573.607081002
2021-02-15T02:00:00+02:00,1800.03,1835.72,1655.67,1779.25,1534.965144553224,1053474.57879,1268101.153121002
2021-02-16T02:00:00+02:00,1779.33,1827.28,1724,1781.99,1550.639838883846,817493.47513,1208487.222698502
2021-02-17T02:00:00+02:00,1781.99,1855,1733.01,1849.88,1587.8001976765643,795711.63311,1180009.318373002
2021-02-18T02:00:00+02:00,1849.7,1950.5,1849.69,1939.61,1631.4320945347367,937227.10191,1114172.514127502
2021-02-19T02:00:00+02:00,1938.91,1972.82,1891,1955,1669.6020285022016,793404.4115,1101840.622887502
2021-02-20T02:00:00+02:00,1955.46,2042.34,1803.14,1913,1693.8453238442207,1261315.81279,1116971.170741502
2021-02-21T02:00:00+02:00,1912.9,1976.31,1883.01,1933.53,1726.0548759157568,756568.19743,1099979.6846820018
2021-02-22T02:00:00+02:00,1933.54,1936.29,1551,1777.58,1729.194133159107,1807244.98099,1093130.5337925018
2021-02-23T02:00:00+02:00,1777.42,1782.39,1355,1577.89,1727.8851757515442,2547837.82068,1143728.930426002
2021-02-24T02:00:00+02:00,1577.79,1712.7,1500.2,1623.39,1727.1526169744827,1384388.81727,1130626.6914950018
2021-02-25T02:00:00+02:00,1623.16,1671.59,1459.16,1481.75,1723.910547224009,1032670.79409,1122554.0662265017
2021-02-26T02:00:00+02:00,1482.08,1562.25,1400,1444.59,1713.3613941889937,1355973.29378,1132862.3143650019
2021-02-27T02:00:00+02:00,1444.56,1529,1425,1458.13,1705.9754487164953,927423.0475,1115146.7233330016
2021-02-28T02:00:00+02:00,1458.27,1468.75,1293.18,1419.18,1698.6693778513593,1410207.56284,1118673.8281790016
2021-03-01T02:00:00+02:00,1418.67,1572,1409.91,1569.86,1695.6649924661044,1094695.17839,1114154.9923020017
2021-03-02T02:00:00+02:00,1570,1602.9,1455.52,1486.78,1687.6554482393026,1061142.38743,1106215.4989365018
2021-03-03T02:00:00+02:00,1486.79,1656.94,1475.47,1567.69,1685.2413049511674,1054846.31471,1122203.8233225015
2021-03-04T02:00:00+02:00,1567.68,1624.87,1506.36,1539.23,1680.719794318713,946365.67088,1124042.0965400017
2021-03-05T02:00:00+02:00,1539.22,1548.96,1441.66,1528.31,1673.9706941746347,910786.28976,1131201.9573855016
2021-03-06T02:00:00+02:00,1528.08,1671.58,1513.03,1650.35,1673.5330458968285,1013300.93928,1148103.9154130016
2021-03-07T02:00:00+02:00,1650.68,1734.16,1630.35,1726.16,1674.0123919511086,848470.78136,1137853.7255415015
2021-03-08T02:00:00+02:00,1726.46,1843.59,1664.96,1833.18,1675.1815883973045,1149711.39987,1154464.6217785017
2021-03-09T02:00:00+02:00,1833.22,1870.77,1798.2,1870.51,1677.0782217542524,857229.47855,1157540.5140505014
2021-03-10T02:00:00+02:00,1870.5,1877.69,1757,1795.12,1677.9402638370757,937230.62831,1157540.6903705015
2021-03-11T02:00:00+02:00,1795.28,1846.7,1725,1825.78,1679.7214603738444,909011.4961,1163321.0446005014
2021-03-12T02:00:00+02:00,1825.78,1841.88,1719.72,1766.1,1681.3540470805929,869564.6361,1143733.4857660015
2021-03-13T02:00:00+02:00,1766.13,1944.3,1727.75,1922.35,1682.4640012854497,926283.22642,1152219.2372155017
2021-03-14T02:00:00+02:00,1922.35,1933.1,1836,1848.1,1683.936624861415,637963.63627,1093755.1699795017
2021-03-15T02:00:00+02:00,1848.1,1891.76,1730,1793.48,1684.4793942840824,1025326.79658,1017629.6187745018
2021-03-16T02:00:00+02:00,1793.99,1819.5,1711.68,1805.12,1687.5566630804706,764993.40147,986659.8479845019
2021-03-17T02:00:00+02:00,1805.01,1838.88,1741.18,1823.58,1690.616851803596,658349.44843,967943.780701502
2021-03-18T02:00:00+02:00,1823.58,1850,1759.04,1776.08,1694.0079948480443,603721.61056,930331.1965405021
2021-03-19T02:00:00+02:00,1775.92,1840.61,1733.47,1809.1,1700.1942560185057,500258.42875,908972.9656030021
2021-03-20T02:00:00+02:00,1809.01,1868.83,1800.86,1806.1,1705.58168768161,451556.10639,861040.3927805021
2021-03-21T02:00:00+02:00,1806.57,1817.16,1747,1782.98,1709.854054042873,465953.98749,829603.3332355021
2021-03-22T02:00:00+02:00,1783.23,1807.51,1655.15,1680.97,1709.4477168012272,582727.49081,805682.5884045021
2021-03-23T02:00:00+02:00,1681.17,1721.17,1650,1668.08,1708.4135952004708,577213.99589,781800.9724635022
2021-03-24T02:00:00+02:00,1668.2,1740.86,1536.92,1581.84,1707.7615754236851,753834.52393,772174.4151160022
2021-03-25T02:00:00+02:00,1581.88,1622,1549.4,1585.74,1706.7968446723776,701697.00258,761719.9507570022
2021-03-26T02:00:00+02:00,1585.83,1699.93,1585.79,1698.84,1706.6256176130273,515470.92907,736828.4502465023
2021-03-27T02:00:00+02:00,1698.84,1732.67,1666.41,1712.63,1706.6825448054703,443845.49957,716597.1861570023
2021-03-28T02:00:00+02:00,1712.52,1725.66,1661.4,1687.01,1706.5366591511145,348895.51314,676556.3918205022
2021-03-29T03:00:00+03:00,1687.16,1841,1677.85,1816.74,1707.1302419764652,647724.46387,666081.1410865022
2021-03-30T03:00:00+03:00,1816.76,1859.13,1786.3,1840.46,1708.0040031244098,568842.00526,647661.7099340023
2021-03-31T03:00:00+03:00,1840.41,1947.29,1768.15,1919.37,1711.7042792764098,746995.8591,639560.9280840022
2021-04-01T03:00:00+03:00,1919.37,1984.77,1885.02,1968.05,1716.7932991969758,741341.40519,633149.7665385023
2021-04-02T03:00:00+03:00,1968.05,2146,1948.48,2133.69,1741.7835699853877,846197.93215,629145.5018250023
2021-04-03T03:00:00+03:00,2133.69,2138.12,1996.3,2008.52,1744.8874750479713,770176.32192,635756.1361075023
2021-04-04T03:00:00+03:00,2008.59,2091.83,1975.24,2075.69,1755.5743691090045,514345.76554,610207.0845555023
2021-04-05T03:00:00+03:00,2075.7,2130.64,2002.15,2107.38,1773.6338512297511,684923.61494,606203.5952290024
2021-04-06T03:00:00+03:00,2107.43,2151,2044.65,2112.21,1790.6200649574732,673386.05575,606955.4255950024
2021-04-07T03:00:00+03:00,2112.22,2129.01,1930.01,1963.47,1793.5324824461843,892984.90422,621418.5902780023
2021-04-08T03:00:00+03:00,1963.46,2084.61,1947.35,2080.46,1804.932042389106,501355.998,621473.4687405023
2021-04-09T03:00:00+03:00,2080.39,2100,2047.57,2066.87,1813.4504536196885,426387.4379,620215.0353160023
2021-04-10T03:00:00+03:00,2067.19,2200,2058,2133.49,1826.8929116313634,655458.20894,629690.2463885022
2021-04-11T03:00:00+03:00,2133.49,2165.02,2113.4,2151.36,1843.046150493241,392265.50773,620167.1472345022
2021-04-12T03:00:00+03:00,2151.42,2203.46,2102,2137.69,1865.2376857378179,579093.35694,620261.1152870022
2021-04-13T03:00:00+03:00,2137.86,2318,2135.53,2299.19,1911.0777472469895,782608.6209,621699.8201355021
2021-04-14T03:00:00+03:00,2299.19,2447.29,2281.33,2432.6,1996.4813137324268,972931.60866,635261.5504395021
2021-04-15T03:00:00+03:00,2432.59,2543.47,2400,2514.04,2086.686506743825,681950.96645,643585.5523085021
2021-04-16T03:00:00+03:00,2514.04,2548.29,2300,2422.67,2126.345031643659,999163.75205,671351.4649325021
2021-04-17T03:00:00+03:00,2422.38,2495,2310,2317.6,2141.863160918917,624232.25568,685118.3020595021
2021-04-18T03:00:00+03:00,2317.65,2340,1946.8,2235.64,2148.0925062321767,1475383.69204,726501.2634680022
2021-04-19T03:00:00+03:00,2235.65,2300,2080,2161.12,2148.5620450310316,820592.26555,739088.7764825022
2021-04-20T03:00:00+03:00,2161.12,2346.62,2055,2330.03,2158.0205424232154,992240.809,751351.0239775022
2021-04-21T03:00:00+03:00,2330.26,2469.54,2235.16,2357.06,2167.246508361461,1177885.8617,773178.2468030022
2021-04-22T03:00:00+03:00,2357.06,2644.47,2303.44,2397.94,2177.739741377203,2213643.83479,841550.5419350022
2021-04-23T03:00:00+03:00,2397.94,2442.89,2107,2367.39,2182.1325704768497,2412052.15747,923644.3337125021
2021-04-24T03:00:00+03:00,2367.39,2368.74,2154.8,2213.35,2182.744435148669,997688.94623,947811.4927470023
2021-04-25T03:00:00+03:00,2214.08,2356.64,2168,2320.49,2185.951073718448,857517.38218,956441.1811090024
2021-04-26T03:00:00+03:00,2320.44,2542.8,2303.64,2532.6,2200.1780300740757,1076469.01367,976595.3290050024
2021-04-27T03:00:00+03:00,2532.06,2680,2480.29,2666.13,2225.407769302386,771728.46451,970532.5070195025
2021-04-28T03:00:00+03:00,2666.13,2760,2559.44,2748.24,2276.0041054983367,999383.1852,995433.8663795025
2021-04-29T03:00:00+03:00,2748.23,2798,2668,2757.04,2316.4102410610617,863890.01069,1017308.9950190025
2021-04-30T03:00:00+03:00,2757.04,2798.3,2723.09,2772.42,2357.2433715995217,695339.20482,1019303.0448130025
2021-05-01T03:00:00+03:00,2772.42,2954.28,2743.41,2944.77,2417.219555085951,690260.07741,1034202.7732970025
2021-05-02T03:00:00+03:00,2944.83,2985,2852.26,2949.56,2470.7540371825667,571982.5445,1033847.2326750025
2021-05-03T03:00:00+03:00,2949.33,3454,2949.32,3431.04,2619.050275806993,1329088.0628,1061171.2047700025
2021-05-04T03:00:00+03:00,3431.04,3527,3160,3239.01,2674.902607914643,1826039.38558,1103826.5936160025
2021-05-05T03:00:00+03:00,3239.01,3549.34,3200.23,3524.26,2762.9283427454507,1174816.73588,1128469.8820875024
2021-05-06T03:00:00+03:00,3524.33,3605.4,3376.47,3489.73,2827.8581740872305,920592.57706,1124541.3233380024
2021-05-07T03:00:00+03:00,3489.74,3587,3353.23,3479.53,2897.4973524279403,760544.64781,1131356.9429445025
2021-05-08T03:00:00+03:00,3479.79,3958.33,3449.27,3910.26,3070.3027673340657,1130467.54852,1114111.1357685025
2021-05-09T03:00:00+03:00,3910.26,3983.65,3726.08,3923.95,3238.146275159884,1000401.0082,1123101.5729010026
2021-05-10T03:00:00+03:00,3923.95,4208,3650,3945.88,3396.5418096861504,1505897.92612,1148784.4287570026
2021-05-11T03:00:00+03:00,3946.63,4180.22,3771.64,4173.45,3573.529728213823,1095927.10403,1144686.4908735026
2021-05-12T03:00:00+03:00,4173.46,4372.72,3701.58,3823.21,3605.449654863264,1601842.74017,1114096.4361425026
2021-05-13T03:00:00+03:00,3810.15,4034.77,3500,3717.91,3617.1682960789894,2068708.17427,1096929.2369825025
2021-05-14T03:00:00+03:00,3717.92,4173.28,3691.35,4075.01,3678.6905927181506,1153390.42631,1104714.3109865026
2021-05-15T03:00:00+03:00,4075.02,4134.05,3632,3646.68,3675.8264344130844,1039174.88082,1113797.1859185023
2021-05-16T03:00:00+03:00,3646.24,3879,3343.06,3582.1,3668.81881507911,1324065.65875,1126177.0181725023
2021-05-17T03:00:00+03:00,3581.81,3587.06,3102,3282.51,3655.486880277867,1904012.43998,1182791.2169460023
2021-05-18T03:00:00+03:00,3282.25,3565.71,3240,3375.07,3646.3586208160423,1287110.84143,1197177.5997575023
2021-05-19T03:00:00+03:00,3375.08,3441.73,1888,2438.92,3632.9071471439756,4309836.31939,1369474.9151925023
2021-05-20T03:00:00+03:00,2438.92,2990.05,2155,2768.62,3629.1497095581503,2942777.93009999,1481846.851456502
2021-05-21T03:00:00+03:00,2767.87,2938.54,2101,2430.98,3616.1452727815836,2727031.93514,1583685.4443430018
2021-05-22T03:00:00+03:00,2430.98,2485,2145,2294.87,3590.0403633451956,1684318.01157,1639302.2176965016
2021-05-23T03:00:00+03:00,2295.45,2381.57,1728.74,2096.39,3551.456002928322,2914548.73125,1718575.2511190015
2021-05-24T03:00:00+03:00,2096.63,2675,2079.94,2648.43,3530.698440006845,2186632.92245,1736604.9279625018
